BinCenter (ps);Histo01;Histo02;Histo03;Histo04
5973;8;17;0;0
5979;7;20;0;0
5985;7;22;0;0
5991;7;12;1;1
5997;8;17;1;0
6003;9;20;0;0
6009;11;19;0;0
6015;9;9;1;0
6021;12;25;0;0
6027;10;14;0;0
6033;9;18;0;0
6039;11;25;0;0
6045;7;19;0;0
6051;9;20;0;1
6057;8;22;0;0
6063;7;27;0;1
6069;10;21;0;0
6075;13;27;0;1
6081;8;19;1;0
6087;11;20;0;0
6093;13;15;0;0
6099;5;16;0;0
6105;10;17;0;1
6111;7;16;0;0
6117;10;23;0;0
6123;14;15;0;0
6129;9;21;0;0
6135;8;17;2;0
6141;10;23;0;0
6147;11;30;0;0
6153;9;20;0;1
6159;13;23;1;0
6165;9;17;0;0
6171;17;14;0;0
6177;10;20;0;0
6183;6;18;0;0
6189;12;25;0;0
6195;10;15;0;0
6201;4;20;0;1
6207;11;23;0;0
6213;6;15;0;0
6219;12;19;0;1
6225;8;21;1;0
6231;6;15;0;0
6237;9;19;0;0
6243;14;22;2;0
6249;8;12;0;0
6255;12;16;0;0
6261;10;24;1;0
6267;12;21;0;0
6273;15;25;0;0
6279;7;22;0;0
6285;8;14;0;0
6291;6;20;1;0
6297;10;15;0;1
6303;6;16;0;0
6309;6;20;1;0
6315;12;19;1;0
6321;8;11;0;0
6327;11;17;0;0
6333;9;16;0;0
6339;7;19;0;0
6345;15;17;0;0
6351;10;13;0;0
6357;8;25;1;0
6363;7;21;0;1
6369;12;17;0;0
6375;8;15;0;0
6381;10;16;0;0
6387;4;20;0;0
6393;7;14;1;0
6399;4;18;0;1
6405;9;15;0;0
6411;10;18;0;0
6417;8;23;1;0
6423;6;14;0;0
6429;11;9;0;0
6435;6;14;0;0
6441;14;19;0;0
6447;8;21;0;0
6453;12;25;0;0
6459;5;29;0;0
6465;13;12;0;0
6471;9;20;0;0
6477;6;19;0;0
6483;5;14;1;1
6489;9;15;0;0
6495;9;15;0;0
6501;3;21;0;0
6507;10;12;0;1
6513;9;19;1;0
6519;8;20;1;0
6525;9;10;0;0
6531;12;19;0;0
6537;8;23;0;0
6543;10;15;0;0
6549;7;21;0;0
6555;13;16;0;0
6561;10;21;1;0
6567;6;10;0;0
6573;10;18;0;0
6579;13;18;0;1
6585;7;26;0;0
6591;8;13;0;0
6597;13;15;0;0
6603;6;27;0;0
6609;9;14;0;1
6615;11;18;1;1
6621;10;17;0;0
6627;5;17;0;1
6633;4;19;0;0
6639;12;18;1;0
6645;11;20;0;0
6651;8;19;0;0
6657;11;25;0;1
6663;9;15;1;0
6669;6;24;0;0
6675;8;18;0;1
6681;5;15;0;0
6687;11;8;0;0
6693;7;19;0;0
6699;15;13;0;0
6705;10;19;1;0
6711;15;21;1;0
6717;14;21;1;0
6723;8;15;0;0
6729;10;25;0;0
6735;6;21;0;0
6741;10;19;0;0
6747;8;22;0;0
6753;7;17;0;0
6759;11;14;0;0
6765;13;13;0;1
6771;14;25;0;0
6777;9;19;0;0
6783;11;18;3;0
6789;6;16;1;0
6795;8;16;0;0
6801;6;27;1;1
6807;5;23;2;1
6813;8;23;0;0
6819;9;25;0;0
6825;12;15;0;0
6831;5;18;0;0
6837;6;17;0;0
6843;7;24;0;0
6849;5;18;0;0
6855;11;16;2;0
6861;10;17;1;1
6867;7;27;0;0
6873;12;18;0;0
6879;4;17;0;0
6885;5;15;0;0
6891;8;9;1;0
6897;10;23;0;0
6903;9;18;2;0
6909;11;23;0;0
6915;9;9;0;0
6921;8;21;0;0
6927;6;24;0;0
6933;8;14;0;0
6939;9;19;0;0
6945;7;22;1;0
6951;9;21;1;0
6957;9;17;1;0
6963;10;17;1;1
6969;5;30;1;1
6975;9;17;0;1
6981;10;26;1;0
6987;4;13;0;0
6993;6;21;0;0
6999;14;11;0;0
7005;9;19;1;0
7011;15;14;0;1
7017;11;18;1;0
7023;11;11;0;0
7029;10;13;0;0
7035;12;23;1;0
7041;6;23;1;1
7047;11;15;0;1
7053;9;11;0;0
7059;9;14;0;1
7065;9;22;0;2
7071;6;19;0;0
7077;12;27;0;0
7083;9;20;0;0
7089;6;16;0;0
7095;15;23;0;0
7101;9;15;0;1
7107;16;24;1;0
7113;7;26;0;0
7119;13;18;0;0
7125;8;21;0;0
7131;10;14;0;0
7137;4;24;0;0
7143;5;20;1;0
7149;14;20;1;0
7155;8;17;0;0
7161;6;15;0;0
7167;7;21;1;1
7173;13;18;0;1
7179;8;15;0;0
7185;13;21;0;0
7191;8;17;0;1
7197;10;15;0;0
7203;14;30;0;0
7209;10;20;0;0
7215;7;15;1;0
7221;7;12;0;0
7227;7;19;0;0
7233;8;15;0;1
7239;13;20;0;0
7245;8;19;0;1
7251;15;19;1;0
7257;14;20;0;0
7263;11;26;0;0
7269;7;18;0;0
7275;3;15;0;0
7281;7;21;0;0
7287;10;22;0;0
7293;5;19;0;0
7299;6;21;0;0
7305;10;18;0;0
7311;9;16;1;0
7317;7;19;0;0
7323;10;19;0;0
7329;11;20;0;0
7335;9;13;0;0
7341;9;15;0;0
7347;10;11;1;0
7353;4;19;0;0
7359;5;20;0;0
7365;10;13;0;1
7371;8;19;1;0
7377;12;20;0;0
7383;12;20;0;0
7389;12;23;0;0
7395;9;13;0;0
7401;8;13;0;0
7407;10;26;1;1
7413;13;21;0;0
7419;5;11;0;1
7425;7;15;0;1
7431;7;23;0;0
7437;5;14;0;1
7443;10;11;0;0
7449;9;18;0;0
7455;10;14;0;0
7461;6;15;0;0
7467;8;19;0;0
7473;9;28;0;1
7479;6;27;0;1
7485;6;14;0;0
7491;12;19;0;0
7497;12;25;0;0
7503;5;22;0;0
7509;6;21;0;0
7515;14;18;1;0
7521;9;21;0;0
7527;8;22;1;0
7533;16;23;0;0
7539;8;20;0;0
7545;12;20;0;0
7551;17;28;0;0
7557;7;13;0;0
7563;9;14;0;0
7569;11;19;3;0
7575;9;27;0;0
7581;13;18;0;0
7587;11;25;1;0
7593;13;19;1;0
7599;7;13;1;0
7605;12;15;0;0
7611;7;15;0;1
7617;7;13;0;0
7623;11;13;0;0
7629;7;22;0;0
7635;10;17;0;0
